generator,repeat,chi2,df,p_value,lower_tail,central_p,min_count,max_count,count_std
lcg_minstd,29,114.9250000000,124,0.7082708172,0.2917291828,0.5834583657,61,102,8.6107584620
lcg_minstd,30,118.0500000000,124,0.6336448011,0.3663551989,0.7327103979,61,97,8.7270436187
lcg_minstd,31,120.4250000000,124,0.574083309,0.425916691,0.851833382,59,98,8.8143943857
lcg_minstd,32,113.9750000000,124,0.7297176318,0.2702823682,0.5405647364,58,101,8.5750952219
lcg_minstd,33,108.7750000000,124,0.8331425015,0.1668574985,0.3337149969,64,100,8.3771963899
lcg_minstd,34,116.8500000000,124,0.6629403897,0.3370596103,0.6741192206,59,99,8.6825743172
lcg_minstd,35,105.1500000000,124,0.8889075775,0.1110924225,0.222184845,60,99,8.2364257829
lcg_minstd,36,111.3500000000,124,0.7851254914,0.2148745086,0.4297490173,54,100,8.4757719222
lcg_minstd,37,129.5000000000,124,0.3495958121,0.6504041879,0.6991916242,60,100,9.1404806819
lcg_minstd,38,113.4750000000,124,0.7407262533,0.2592737467,0.5185474934,63,103,8.5562653897
lcg_minstd,39,121.3000000000,124,0.5518290237,0.4481709763,0.8963419525,54,101,8.8463588281
lcg_minstd,40,118.6750000000,124,0.6181402895,0.3818597105,0.7637194211,59,103,8.7501152066
lcg_minstd,41,133.8500000000,124,0.2572915436,0.7427084564,0.5145830872,57,104,9.2927304227
lcg_minstd,42,136.7500000000,124,0.2045639857,0.7954360143,0.4091279715,56,102,9.3928593331
lcg_minstd,43,110.8250000000,124,0.7954534602,0.2045465398,0.4090930795,61,102,8.4557672626
lcg_minstd,44,119.9500000000,124,0.5861155234,0.4138844766,0.8277689533,58,107,8.7969936214
lcg_minstd,45,108.4250000000,124,0.8391422021,0.1608577979,0.3217155958,62,105,8.3637080833
lcg_minstd,46,98.7000000000,124,0.9542835728,0.04571642717,0.09143285434,60,102,7.9798132406
lcg_minstd,47,123.7500000000,124,0.4894407943,0.5105592057,0.9788815886,50,105,8.9352509577
lcg_minstd,48,154.1250000000,124,0.03450160682,0.9654983932,0.06900321363,54,111,9.9717342459
lcg_minstd,49,123.0000000000,124,0.5084942006,0.4915057994,0.9830115989,57,101,8.9081332898
lcg_minstd,50,138.5000000000,124,0.176424129,0.823575871,0.352848258,54,106,9.4527688383
lcg_minstd,51,115.1250000000,124,0.7036721892,0.2963278108,0.5926556216,61,98,8.6182477075
lcg_minstd,52,107.2000000000,124,0.8591121037,0.1408878963,0.2817757926,64,97,8.3163267326
lcg_minstd,53,114.4250000000,124,0.7196424555,0.2803575445,0.560715089,60,105,8.5920067880
lcg_minstd,54,112.2250000000,124,0.7673326384,0.2326673616,0.4653347232,61,108,8.5090085090
lcg_minstd,55,152.5750000000,124,0.0415564888,0.9584435112,0.08311297759,60,107,9.9214658126
lcg_minstd,56,128.8750000000,124,0.3639916245,0.6360083755,0.727983249,56,106,9.1183968597
lcg_minstd,57,136.9750000000,124,0.2007895142,0.7992104858,0.4015790285,58,101,9.4005833724
