T_K,C_V_J_per_K
454.000000,2.386865850803e+03
455.000000,2.387322915606e+03
456.000000,2.387777100550e+03
457.000000,2.388228429507e+03
458.000000,2.388676926107e+03
459.000000,2.389122613738e+03
460.000000,2.389565515550e+03
461.000000,2.390005654457e+03
462.000000,2.390443053143e+03
463.000000,2.390877734058e+03
464.000000,2.391309719431e+03
465.000000,2.391739031262e+03
466.000000,2.392165691332e+03
467.000000,2.392589721202e+03
468.000000,2.393011142217e+03
469.000000,2.393429975510e+03
470.000000,2.393846242000e+03
471.000000,2.394259962399e+03
472.000000,2.394671157213e+03
473.000000,2.395079846744e+03
474.000000,2.395486051092e+03
475.000000,2.395889790159e+03
476.000000,2.396291083650e+03
477.000000,2.396689951075e+03
478.000000,2.397086411752e+03
479.000000,2.397480484811e+03
480.000000,2.397872189191e+03
481.000000,2.398261543650e+03
482.000000,2.398648566757e+03
483.000000,2.399033276906e+03
484.000000,2.399415692307e+03
485.000000,2.399795830995e+03
486.000000,2.400173710830e+03
487.000000,2.400549349500e+03
488.000000,2.400922764519e+03
489.000000,2.401293973235e+03
490.000000,2.401662992827e+03
491.000000,2.402029840310e+03
492.000000,2.402394532535e+03
493.000000,2.402757086193e+03
494.000000,2.403117517812e+03
495.000000,2.403475843765e+03
496.000000,2.403832080268e+03
497.000000,2.404186243384e+03
498.000000,2.404538349022e+03
499.000000,2.404888412941e+03
500.000000,2.405236450749e+03
