formula,h,log10_h,abs_error,log10_abs_error
Backward O(h),1.9952623149688827e-13,-12.7,9.307256416513088e-05,-4.031178321034742
Backward O(h),2.511886431509582e-13,-12.6,1.5890188384437565e-05,-4.798870954030082
Backward O(h),3.162277660168379e-13,-12.5,0.0001258052538025689,-3.9003012217697597
Backward O(h),3.9810717055349854e-13,-12.399999999999999,3.83695883917623e-05,-4.416012859653525
Backward O(h),5.011872336272715e-13,-12.3,7.41955912328951e-05,-4.129621900113307
Backward O(h),6.309573444801942e-13,-12.2,1.0413888322235998e-05,-4.982387083977084
Backward O(h),7.943282347242822e-13,-12.1,4.4164614519282e-05,-4.354925555850404
Backward O(h),1e-12,-12.0,6.7720754177713616e-06,-5.169278213980179
Backward O(h),1.258925411794166e-12,-11.9,2.1808158172431646e-05,-4.6613810116027095
Backward O(h),1.5848931924611175e-12,-11.799999999999999,8.061797361347267e-06,-5.0935681223271905
Backward O(h),1.9952623149688827e-12,-11.7,9.60812320194293e-06,-5.017361436747851
Backward O(h),2.5118864315095823e-12,-11.6,6.20919896632266e-06,-5.206964423486027
Backward O(h),3.1622776601683794e-12,-11.5,2.9260824022658838e-06,-5.533713447744042
Backward O(h),3.9810717055349695e-12,-11.4,1.048204688025578e-05,-4.979553902275968
Backward O(h),5.011872336272735e-12,-11.299999999999999,7.740006361944829e-06,-5.111258682345997
Backward O(h),6.309573444801943e-12,-11.2,1.6159637530321902e-06,-5.79156838491951
Backward O(h),7.943282347242821e-12,-11.1,2.2339751654110174e-06,-5.650921659145614
Backward O(h),1e-11,-11.0,1.2209602946455789e-06,-5.9132984589844435
Backward O(h),1.2589254117941662e-11,-10.9,2.3887921007936797e-07,-6.621821645732323
Backward O(h),1.5848931924611175e-11,-10.799999999999999,1.056763647366843e-06,-5.976022134851826
Backward O(h),1.9952623149688828e-11,-10.7,1.5204689265413407e-06,-5.818022451001287
Backward O(h),2.5118864315095823e-11,-10.6,4.2061723892761194e-07,-6.376112931797792
Backward O(h),3.1622776601683794e-11,-10.5,5.847510662349009e-07,-6.233028977625673
Backward O(h),3.9810717055349857e-11,-10.399999999999999,6.729697293872405e-07,-6.172004470182779
Backward O(h),5.011872336272735e-11,-10.299999999999999,1.314520592377022e-08,-7.881232606145172
Backward O(h),6.309573444801942e-11,-10.2,7.361712961451161e-07,-6.13302112001732
Backward O(h),7.943282347242822e-11,-10.1,5.614007914100938e-07,-6.250726979473588
Backward O(h),1e-10,-10.0,1.1073727002042233e-07,-6.955706187250675
Backward O(h),1.2589254117941713e-10,-9.899999999999999,2.3887921374310395e-07,-6.621821639071467
Backward O(h),1.5848931924611173e-10,-9.799999999999999,6.008590403006053e-09,-8.221227400209967
Backward O(h),1.9952623149688828e-10,-9.7,1.2939491045305118e-07,-6.888082805627328
