h,log10_h,measured_abs_error,model_abs_error
0.0012589254117941714,-2.8999999999999986,0.00030201226937254244,0.0003017804968592843
0.0015848931924611108,-2.8000000000000007,0.00038028645460008725,0.000379919136255251
0.001995262314968883,-2.6999999999999993,0.00047887198271268083,0.0004782898550389523
0.0025118864315095924,-2.599999999999998,0.0006030537977278483,0.0006021312526962588
0.0031622776601683794,-2.5,0.0007595003403844114,0.0007580383352423571
0.0039810717055349856,-2.3999999999999986,0.0009566305854684654,0.0009543137233408915
0.005011872336272715,-2.3000000000000007,0.0012050812572055314,0.001201409797129918
0.006309573444801942,-2.1999999999999993,0.0015183031593946072,0.0015124853235791117
0.007943282347242854,-2.099999999999998,0.0019133247873462933,0.0019041062088145314
0.01,-2.0,0.002411734019925449,0.002397127693027727
0.012589254117941713,-1.8999999999999986,0.0030409461708816865,0.003017804968065025
0.01584893192461111,-1.8000000000000007,0.003835851170717608,0.0037991913621332495
0.01995262314968883,-1.6999999999999993,0.0048409673693659006,0.004782898550056492
0.025118864315095923,-1.5999999999999979,0.006113279216485634,0.0060213125266980515
0.03162277660168379,-1.5,0.0077260081219568955,0.007580383352213443
0.03981071705534985,-1.3999999999999986,0.009773670964212333,0.009543137233242002
0.050118723362727144,-1.3000000000000007,0.012378935158868343,0.012014097971166596
0.06309573444801943,-1.1999999999999993,0.015702006763569032,0.015124853235685803
0.07943282347242854,-1.0999999999999979,0.019953623283672006,0.019041062088061663
0.1,-1.0,0.0254132139820491,0.02397127693021082
0.12589254117941714,-0.8999999999999986,0.032454501326883545,0.03017804968059747
0.1584893192461124,-0.7999999999999972,0.041581822033290305,0.03799191362129088
0.19952623149688828,-0.6999999999999993,0.05348180593554075,0.047828985500531614
0.25118864315095923,-0.5999999999999979,0.06909673985973108,0.06021312526695406
0.31622776601683794,-0.5,0.08972765484878953,0.07580383352211341
0.39810717055349853,-0.3999999999999986,0.11717584427185146,0.09543137233240334
0.5011872336272756,-0.29999999999999716,0.15392821926485278,0.1201409797116537
0.6309573444801942,-0.19999999999999932,0.20337740302333185,0.15124853235684751
0.7943282347242854,-0.09999999999999788,0.2700252008263935,0.19041062088060823
1.0,0.0,0.3595131138905213,0.23971276930210156
