case,sweep,T,E,E_per_spin,M,m,abs_m,m2,acceptance
L30_T2,576,2.0,-1548.0,-1.72,800,0.8888888888888888,0.8888888888888888,0.7901234567901234,0.08
L30_T2,577,2.0,-1568.0,-1.7422222222222221,802,0.8911111111111111,0.8911111111111111,0.7940790123456789,0.07888888888888888
L30_T2,578,2.0,-1548.0,-1.72,806,0.8955555555555555,0.8955555555555555,0.8020197530864197,0.08
L30_T2,579,2.0,-1568.0,-1.7422222222222221,820,0.9111111111111111,0.9111111111111111,0.8301234567901234,0.08555555555555555
L30_T2,580,2.0,-1544.0,-1.7155555555555555,816,0.9066666666666666,0.9066666666666666,0.8220444444444444,0.08666666666666667
L30_T2,581,2.0,-1592.0,-1.768888888888889,834,0.9266666666666666,0.9266666666666666,0.8587111111111111,0.08333333333333333
L30_T2,582,2.0,-1512.0,-1.68,814,0.9044444444444445,0.9044444444444445,0.8180197530864198,0.08444444444444445
L30_T2,583,2.0,-1536.0,-1.7066666666666668,816,0.9066666666666666,0.9066666666666666,0.8220444444444444,0.09
L30_T2,584,2.0,-1568.0,-1.7422222222222221,812,0.9022222222222223,0.9022222222222223,0.814004938271605,0.08888888888888889
L30_T2,585,2.0,-1528.0,-1.6977777777777778,796,0.8844444444444445,0.8844444444444445,0.782241975308642,0.08888888888888889
L30_T2,586,2.0,-1608.0,-1.7866666666666666,834,0.9266666666666666,0.9266666666666666,0.8587111111111111,0.0811111111111111
L30_T2,587,2.0,-1596.0,-1.7733333333333334,836,0.9288888888888889,0.9288888888888889,0.8628345679012346,0.06777777777777778
L30_T2,588,2.0,-1568.0,-1.7422222222222221,814,0.9044444444444445,0.9044444444444445,0.8180197530864198,0.07222222222222222
L30_T2,589,2.0,-1584.0,-1.76,810,0.9,0.9,0.81,0.07777777777777778
L30_T2,590,2.0,-1536.0,-1.7066666666666668,798,0.8866666666666667,0.8866666666666667,0.7861777777777779,0.08
L30_T2,591,2.0,-1576.0,-1.751111111111111,812,0.9022222222222223,0.9022222222222223,0.814004938271605,0.09222222222222222
L30_T2,592,2.0,-1564.0,-1.7377777777777779,812,0.9022222222222223,0.9022222222222223,0.814004938271605,0.07555555555555556
L30_T2,593,2.0,-1492.0,-1.6577777777777778,798,0.8866666666666667,0.8866666666666667,0.7861777777777779,0.09888888888888889
L30_T2,594,2.0,-1500.0,-1.6666666666666667,794,0.8822222222222222,0.8822222222222222,0.778316049382716,0.10444444444444445
L30_T2,595,2.0,-1580.0,-1.7555555555555555,810,0.9,0.9,0.81,0.1
L30_T2,596,2.0,-1592.0,-1.768888888888889,830,0.9222222222222223,0.9222222222222223,0.8504938271604939,0.07555555555555556
L30_T2,597,2.0,-1620.0,-1.8,838,0.9311111111111111,0.9311111111111111,0.8669679012345679,0.06888888888888889
L30_T2,598,2.0,-1652.0,-1.8355555555555556,856,0.9511111111111111,0.9511111111111111,0.9046123456790124,0.058888888888888886
L30_T2,599,2.0,-1612.0,-1.791111111111111,844,0.9377777777777778,0.9377777777777778,0.8794271604938272,0.05333333333333334
L30_T2,600,2.0,-1600.0,-1.7777777777777777,844,0.9377777777777778,0.9377777777777778,0.8794271604938272,0.06222222222222222
L30_T2,601,2.0,-1632.0,-1.8133333333333332,852,0.9466666666666667,0.9466666666666667,0.8961777777777777,0.057777777777777775
L30_T2,602,2.0,-1656.0,-1.84,846,0.94,0.94,0.8835999999999999,0.052222222222222225
L30_T2,603,2.0,-1660.0,-1.8444444444444446,858,0.9533333333333334,0.9533333333333334,0.9088444444444445,0.04888888888888889
L30_T2,604,2.0,-1604.0,-1.7822222222222222,846,0.94,0.94,0.8835999999999999,0.05333333333333334
L30_T2,605,2.0,-1500.0,-1.6666666666666667,812,0.9022222222222223,0.9022222222222223,0.814004938271605,0.07888888888888888
L30_T2,606,2.0,-1524.0,-1.6933333333333334,808,0.8977777777777778,0.8977777777777778,0.8060049382716049,0.09555555555555556
L30_T2,607,2.0,-1532.0,-1.7022222222222223,800,0.8888888888888888,0.8888888888888888,0.7901234567901234,0.10222222222222223
L30_T2,608,2.0,-1488.0,-1.6533333333333333,794,0.8822222222222222,0.8822222222222222,0.778316049382716,0.10111111111111111
L30_T2,609,2.0,-1620.0,-1.8,850,0.9444444444444444,0.9444444444444444,0.8919753086419753,0.08444444444444445
L30_T2,610,2.0,-1572.0,-1.7466666666666666,820,0.9111111111111111,0.9111111111111111,0.8301234567901234,0.07222222222222222
L30_T2,611,2.0,-1596.0,-1.7733333333333334,834,0.9266666666666666,0.9266666666666666,0.8587111111111111,0.07444444444444444
L30_T2,612,2.0,-1572.0,-1.7466666666666666,832,0.9244444444444444,0.9244444444444444,0.8545975308641974,0.07
L30_T2,613,2.0,-1516.0,-1.6844444444444444,784,0.8711111111111111,0.8711111111111111,0.7588345679012345,0.1
