order,sweep,E_per_spin,m,abs_m
random,101,-1.1866666666666668,0.18666666666666668,0.18666666666666668
random,102,-1.191111111111111,0.17777777777777778,0.17777777777777778
random,103,-1.231111111111111,0.19333333333333333,0.19333333333333333
random,104,-1.2622222222222221,0.2577777777777778,0.2577777777777778
random,105,-1.32,0.24222222222222223,0.24222222222222223
random,106,-1.2666666666666666,0.18888888888888888,0.18888888888888888
random,107,-1.2533333333333334,0.20222222222222222,0.20222222222222222
random,108,-1.2222222222222223,0.19555555555555557,0.19555555555555557
random,109,-1.2222222222222223,0.21555555555555556,0.21555555555555556
random,110,-1.24,0.2222222222222222,0.2222222222222222
random,111,-1.2666666666666666,0.2111111111111111,0.2111111111111111
random,112,-1.231111111111111,0.2288888888888889,0.2288888888888889
random,113,-1.2844444444444445,0.26666666666666666,0.26666666666666666
random,114,-1.2266666666666666,0.27111111111111114,0.27111111111111114
random,115,-1.2444444444444445,0.27555555555555555,0.27555555555555555
random,116,-1.1955555555555555,0.24444444444444444,0.24444444444444444
random,117,-1.24,0.25333333333333335,0.25333333333333335
random,118,-1.1733333333333333,0.29333333333333333,0.29333333333333333
random,119,-1.231111111111111,0.26222222222222225,0.26222222222222225
random,120,-1.271111111111111,0.27111111111111114,0.27111111111111114
random,121,-1.248888888888889,0.2644444444444444,0.2644444444444444
random,122,-1.231111111111111,0.23777777777777778,0.23777777777777778
random,123,-1.2577777777777779,0.22666666666666666,0.22666666666666666
random,124,-1.2444444444444445,0.24,0.24
random,125,-1.2755555555555556,0.1622222222222222,0.1622222222222222
random,126,-1.1822222222222223,0.14888888888888888,0.14888888888888888
random,127,-1.2177777777777778,0.12444444444444444,0.12444444444444444
random,128,-1.1822222222222223,0.18666666666666668,0.18666666666666668
random,129,-1.2755555555555556,0.22,0.22
random,130,-1.32,0.23333333333333334,0.23333333333333334
random,131,-1.2133333333333334,0.22444444444444445,0.22444444444444445
random,132,-1.2622222222222221,0.23555555555555555,0.23555555555555555
random,133,-1.231111111111111,0.26666666666666666,0.26666666666666666
random,134,-1.2044444444444444,0.2511111111111111,0.2511111111111111
random,135,-1.248888888888889,0.2733333333333333,0.2733333333333333
random,136,-1.2444444444444445,0.24888888888888888,0.24888888888888888
random,137,-1.2533333333333334,0.26666666666666666,0.26666666666666666
random,138,-1.2133333333333334,0.28,0.28
random,139,-1.1288888888888888,0.23333333333333334,0.23333333333333334
random,140,-1.1511111111111112,0.24666666666666667,0.24666666666666667
random,141,-1.048888888888889,0.2777777777777778,0.2777777777777778
random,142,-1.1155555555555556,0.33111111111111113,0.33111111111111113
random,143,-1.2,0.35777777777777775,0.35777777777777775
random,144,-1.2533333333333334,0.4111111111111111,0.4111111111111111
random,145,-1.28,0.43555555555555553,0.43555555555555553
random,146,-1.2133333333333334,0.45555555555555555,0.45555555555555555
random,147,-1.248888888888889,0.52,0.52
random,148,-1.28,0.5133333333333333,0.5133333333333333
random,149,-1.32,0.5133333333333333,0.5133333333333333
random,150,-1.3155555555555556,0.5488888888888889,0.5488888888888889
random,151,-1.3688888888888888,0.5488888888888889,0.5488888888888889
random,152,-1.28,0.5088888888888888,0.5088888888888888
random,153,-1.3155555555555556,0.5,0.5
random,154,-1.2666666666666666,0.5044444444444445,0.5044444444444445
random,155,-1.2,0.5755555555555556,0.5755555555555556
random,156,-1.2444444444444445,0.5777777777777777,0.5777777777777777
random,157,-1.3066666666666666,0.6577777777777778,0.6577777777777778
random,158,-1.3511111111111112,0.6333333333333333,0.6333333333333333
random,159,-1.3822222222222222,0.6111111111111112,0.6111111111111112
random,160,-1.3955555555555557,0.6088888888888889,0.6088888888888889
random,161,-1.3022222222222222,0.6111111111111112,0.6111111111111112
random,162,-1.3733333333333333,0.6511111111111111,0.6511111111111111
random,163,-1.3555555555555556,0.6377777777777778,0.6377777777777778
random,164,-1.2755555555555556,0.62,0.62
random,165,-1.3333333333333333,0.6511111111111111,0.6511111111111111
random,166,-1.3733333333333333,0.6755555555555556,0.6755555555555556
random,167,-1.3822222222222222,0.6866666666666666,0.6866666666666666
random,168,-1.4977777777777779,0.7022222222222222,0.7022222222222222
random,169,-1.4222222222222223,0.6844444444444444,0.6844444444444444
random,170,-1.52,0.7266666666666667,0.7266666666666667
random,171,-1.5022222222222221,0.7422222222222222,0.7422222222222222
random,172,-1.52,0.7133333333333334,0.7133333333333334
random,173,-1.5377777777777777,0.72,0.72
random,174,-1.448888888888889,0.6933333333333334,0.6933333333333334
random,175,-1.4355555555555555,0.6533333333333333,0.6533333333333333
random,176,-1.4177777777777778,0.6377777777777778,0.6377777777777778
random,177,-1.3111111111111111,0.6111111111111112,0.6111111111111112
random,178,-1.3466666666666667,0.6177777777777778,0.6177777777777778
random,179,-1.3422222222222222,0.62,0.62
random,180,-1.4266666666666667,0.6444444444444445,0.6444444444444445
random,181,-1.4622222222222223,0.6488888888888888,0.6488888888888888
random,182,-1.4577777777777778,0.6222222222222222,0.6222222222222222
random,183,-1.3777777777777778,0.5688888888888889,0.5688888888888889
random,184,-1.3422222222222222,0.5822222222222222,0.5822222222222222
random,185,-1.36,0.56,0.56
random,186,-1.3066666666666666,0.5377777777777778,0.5377777777777778
random,187,-1.32,0.5333333333333333,0.5333333333333333
random,188,-1.2933333333333332,0.5311111111111111,0.5311111111111111
random,189,-1.2355555555555555,0.5444444444444444,0.5444444444444444
random,190,-1.2177777777777778,0.4955555555555556,0.4955555555555556
random,191,-1.2222222222222223,0.45111111111111113,0.45111111111111113
random,192,-1.231111111111111,0.5022222222222222,0.5022222222222222
random,193,-1.2755555555555556,0.5155555555555555,0.5155555555555555
random,194,-1.3155555555555556,0.5422222222222223,0.5422222222222223
random,195,-1.32,0.5533333333333333,0.5533333333333333
random,196,-1.3911111111111112,0.5466666666666666,0.5466666666666666
random,197,-1.3466666666666667,0.5155555555555555,0.5155555555555555
random,198,-1.3688888888888888,0.5266666666666666,0.5266666666666666
random,199,-1.3511111111111112,0.5222222222222223,0.5222222222222223
random,200,-1.3644444444444443,0.5111111111111111,0.5111111111111111
random,201,-1.3644444444444443,0.5355555555555556,0.5355555555555556
random,202,-1.3022222222222222,0.5511111111111111,0.5511111111111111
random,203,-1.2577777777777779,0.5333333333333333,0.5333333333333333
random,204,-1.3066666666666666,0.5555555555555556,0.5555555555555556
random,205,-1.3022222222222222,0.5488888888888889,0.5488888888888889
random,206,-1.288888888888889,0.5244444444444445,0.5244444444444445
random,207,-1.3955555555555557,0.5222222222222223,0.5222222222222223
random,208,-1.3733333333333333,0.5044444444444445,0.5044444444444445
random,209,-1.3866666666666667,0.47555555555555556,0.47555555555555556
random,210,-1.3466666666666667,0.46,0.46
random,211,-1.3466666666666667,0.4,0.4
random,212,-1.3422222222222222,0.38222222222222224,0.38222222222222224
random,213,-1.248888888888889,0.3377777777777778,0.3377777777777778
random,214,-1.3022222222222222,0.3244444444444444,0.3244444444444444
random,215,-1.3111111111111111,0.3,0.3
random,216,-1.32,0.28888888888888886,0.28888888888888886
random,217,-1.3644444444444443,0.31555555555555553,0.31555555555555553
random,218,-1.3866666666666667,0.3,0.3
random,219,-1.3466666666666667,0.3111111111111111,0.3111111111111111
random,220,-1.2755555555555556,0.29777777777777775,0.29777777777777775
random,221,-1.248888888888889,0.21777777777777776,0.21777777777777776
random,222,-1.2933333333333332,0.18222222222222223,0.18222222222222223
random,223,-1.3288888888888888,0.1622222222222222,0.1622222222222222
random,224,-1.3377777777777777,0.13777777777777778,0.13777777777777778
random,225,-1.3333333333333333,0.13777777777777778,0.13777777777777778
random,226,-1.2577777777777779,0.1,0.1
random,227,-1.2533333333333334,0.12222222222222222,0.12222222222222222
random,228,-1.3022222222222222,0.17555555555555555,0.17555555555555555
random,229,-1.288888888888889,0.15555555555555556,0.15555555555555556
random,230,-1.32,0.15777777777777777,0.15777777777777777
random,231,-1.3333333333333333,0.13333333333333333,0.13333333333333333
random,232,-1.3244444444444445,0.09111111111111111,0.09111111111111111
random,233,-1.28,0.07777777777777778,0.07777777777777778
random,234,-1.3422222222222222,0.08222222222222222,0.08222222222222222
random,235,-1.2266666666666666,0.006666666666666667,0.006666666666666667
random,236,-1.2133333333333334,-0.02,0.02
random,237,-1.2266666666666666,-0.0044444444444444444,0.0044444444444444444
random,238,-1.2133333333333334,-0.006666666666666667,0.006666666666666667
random,239,-1.1777777777777778,-0.06,0.06
random,240,-1.2044444444444444,-0.06666666666666667,0.06666666666666667
random,241,-1.2177777777777778,-0.028888888888888888,0.028888888888888888
random,242,-1.1866666666666668,0.028888888888888888,0.028888888888888888
random,243,-1.1688888888888889,0.051111111111111114,0.051111111111111114
random,244,-1.2222222222222223,0.0044444444444444444,0.0044444444444444444
random,245,-1.288888888888889,-0.0022222222222222222,0.0022222222222222222
random,246,-1.271111111111111,-0.03111111111111111,0.03111111111111111
random,247,-1.2222222222222223,-0.013333333333333334,0.013333333333333334
random,248,-1.3377777777777777,0.0,0.0
