time_sweeps,E_per_spin,abs_m
205.0,-1.471111111111111,0.7
205.05,-1.4666666666666666,0.7066666666666667
205.1,-1.4444444444444444,0.6977777777777778
205.15,-1.4533333333333334,0.6977777777777778
205.2,-1.4444444444444444,0.6888888888888889
205.25,-1.4266666666666667,0.6822222222222222
205.3,-1.4266666666666667,0.68
205.35,-1.4355555555555555,0.6844444444444444
205.4,-1.431111111111111,0.6866666666666666
205.45,-1.4355555555555555,0.6888888888888889
205.5,-1.4355555555555555,0.6955555555555556
205.55,-1.4577777777777778,0.7066666666666667
205.6,-1.4622222222222223,0.7088888888888889
205.65,-1.44,0.7066666666666667
205.7,-1.448888888888889,0.7088888888888889
205.75,-1.44,0.7133333333333334
205.8,-1.4266666666666667,0.7177777777777777
205.85,-1.4622222222222223,0.7311111111111112
205.9,-1.4622222222222223,0.7266666666666667
205.95,-1.448888888888889,0.7222222222222222
206.0,-1.44,0.7266666666666667
206.05,-1.4533333333333334,0.7333333333333333
206.1,-1.4666666666666666,0.7288888888888889
206.15,-1.4666666666666666,0.7355555555555555
206.2,-1.4622222222222223,0.7377777777777778
206.25,-1.48,0.74
206.3,-1.4755555555555555,0.7377777777777778
206.35,-1.488888888888889,0.74
206.4,-1.5066666666666666,0.7466666666666667
206.45,-1.528888888888889,0.7577777777777778
206.5,-1.5422222222222222,0.7533333333333333
206.55,-1.5555555555555556,0.7577777777777778
206.6,-1.551111111111111,0.7555555555555555
206.65,-1.56,0.7622222222222222
206.7,-1.5644444444444445,0.7688888888888888
206.75,-1.568888888888889,0.7688888888888888
206.8,-1.5644444444444445,0.7688888888888888
206.85,-1.5644444444444445,0.7688888888888888
206.9,-1.5644444444444445,0.7622222222222222
206.95,-1.5644444444444445,0.76
207.0,-1.5377777777777777,0.7533333333333333
207.05,-1.5377777777777777,0.7511111111111111
207.1,-1.5466666666666666,0.7511111111111111
207.15,-1.5555555555555556,0.7511111111111111
207.2,-1.5466666666666666,0.7511111111111111
207.25,-1.5466666666666666,0.7466666666666667
207.3,-1.528888888888889,0.7444444444444445
207.35,-1.56,0.7555555555555555
207.4,-1.5377777777777777,0.7511111111111111
207.45,-1.5422222222222222,0.7533333333333333
207.5,-1.5644444444444445,0.7577777777777778
207.55,-1.5466666666666666,0.7488888888888889
207.6,-1.528888888888889,0.7466666666666667
207.65,-1.5244444444444445,0.7466666666666667
207.7,-1.5244444444444445,0.7377777777777778
207.75,-1.5066666666666666,0.7311111111111112
207.8,-1.4755555555555555,0.72
207.85,-1.4755555555555555,0.7244444444444444
207.9,-1.4666666666666666,0.7222222222222222
207.95,-1.448888888888889,0.7177777777777777
208.0,-1.471111111111111,0.72
208.05,-1.4577777777777778,0.7133333333333334
208.1,-1.448888888888889,0.7
208.15,-1.4577777777777778,0.7
208.2,-1.4622222222222223,0.7022222222222222
208.25,-1.448888888888889,0.6977777777777778
208.3,-1.4533333333333334,0.7
208.35,-1.448888888888889,0.6844444444444444
208.4,-1.4444444444444444,0.6711111111111111
208.45,-1.4755555555555555,0.6755555555555556
208.5,-1.471111111111111,0.6688888888888889
208.55,-1.4577777777777778,0.6622222222222223
208.6,-1.471111111111111,0.6688888888888889
208.65,-1.4666666666666666,0.6711111111111111
208.7,-1.4577777777777778,0.6688888888888889
208.75,-1.4533333333333334,0.6666666666666666
208.8,-1.448888888888889,0.66
208.85,-1.431111111111111,0.6555555555555556
208.9,-1.4444444444444444,0.6533333333333333
208.95,-1.4622222222222223,0.6422222222222222
209.0,-1.4533333333333334,0.6511111111111111
209.05,-1.44,0.6422222222222222
209.1,-1.4222222222222223,0.6311111111111111
209.15,-1.4177777777777778,0.6311111111111111
209.2,-1.4177777777777778,0.6155555555555555
209.25,-1.4133333333333333,0.6177777777777778
209.3,-1.4355555555555555,0.6311111111111111
209.35,-1.448888888888889,0.6377777777777778
209.4,-1.4533333333333334,0.6488888888888888
209.45,-1.4444444444444444,0.6466666666666666
209.5,-1.431111111111111,0.6488888888888888
209.55,-1.431111111111111,0.6422222222222222
209.6,-1.4177777777777778,0.6533333333333333
209.65,-1.4044444444444444,0.6533333333333333
209.7,-1.4222222222222223,0.6466666666666666
209.75,-1.44,0.6555555555555556
209.8,-1.4355555555555555,0.6466666666666666
209.85,-1.4355555555555555,0.64
209.9,-1.44,0.6444444444444445
209.95,-1.44,0.6466666666666666
210.0,-1.4222222222222223,0.6377777777777778
210.05,-1.4133333333333333,0.6355555555555555
210.1,-1.4177777777777778,0.6333333333333333
210.15,-1.4,0.6288888888888889
210.2,-1.4,0.6266666666666667
210.25,-1.4044444444444444,0.6333333333333333
210.3,-1.4444444444444444,0.6266666666666667
210.35,-1.4666666666666666,0.6333333333333333
210.4,-1.448888888888889,0.6288888888888889
210.45,-1.4622222222222223,0.6488888888888888
210.5,-1.4533333333333334,0.6422222222222222
210.55,-1.4755555555555555,0.6466666666666666
210.6,-1.4622222222222223,0.6533333333333333
210.65,-1.4755555555555555,0.6488888888888888
210.7,-1.4577777777777778,0.6466666666666666
210.75,-1.4622222222222223,0.6511111111111111
210.8,-1.4844444444444445,0.6511111111111111
210.85,-1.48,0.6555555555555556
210.9,-1.4622222222222223,0.6488888888888888
210.95,-1.4755555555555555,0.66
211.0,-1.4844444444444445,0.6644444444444444
211.05,-1.4844444444444445,0.66
211.1,-1.48,0.6622222222222223
211.15,-1.48,0.6577777777777778
211.2,-1.4622222222222223,0.6533333333333333
211.25,-1.4755555555555555,0.6511111111111111
211.3,-1.4844444444444445,0.6533333333333333
211.35,-1.4844444444444445,0.6533333333333333
211.4,-1.5066666666666666,0.6577777777777778
211.45,-1.5155555555555555,0.6666666666666666
211.5,-1.5022222222222221,0.6622222222222223
211.55,-1.488888888888889,0.6644444444444444
211.6,-1.4844444444444445,0.6711111111111111
211.65,-1.4666666666666666,0.66
211.7,-1.471111111111111,0.6622222222222223
211.75,-1.48,0.6688888888888889
211.8,-1.4755555555555555,0.6644444444444444
211.85,-1.4577777777777778,0.6644444444444444
211.9,-1.4622222222222223,0.6733333333333333
211.95,-1.471111111111111,0.6688888888888889
212.0,-1.4755555555555555,0.6755555555555556
212.05,-1.48,0.6688888888888889
212.1,-1.4666666666666666,0.6711111111111111
212.15,-1.5022222222222221,0.6733333333333333
212.2,-1.5066666666666666,0.6711111111111111
212.25,-1.5022222222222221,0.6777777777777778
212.3,-1.5155555555555555,0.6822222222222222
212.35,-1.4977777777777779,0.6777777777777778
212.4,-1.4933333333333334,0.6688888888888889
212.45,-1.4755555555555555,0.6711111111111111
212.5,-1.4755555555555555,0.6733333333333333
212.55,-1.4844444444444445,0.6777777777777778
212.6,-1.4755555555555555,0.6777777777777778
212.65,-1.4533333333333334,0.6711111111111111
212.7,-1.4622222222222223,0.6822222222222222
212.75,-1.4666666666666666,0.6844444444444444
212.8,-1.4355555555555555,0.6688888888888889
212.85,-1.4266666666666667,0.6688888888888889
212.9,-1.4222222222222223,0.6733333333333333
212.95,-1.4266666666666667,0.6688888888888889
213.0,-1.4222222222222223,0.66
213.05,-1.4222222222222223,0.66
213.1,-1.4222222222222223,0.6644444444444444
213.15,-1.448888888888889,0.6711111111111111
213.2,-1.431111111111111,0.6688888888888889
213.25,-1.44,0.6666666666666666
213.3,-1.448888888888889,0.6666666666666666
213.35,-1.44,0.6666666666666666
213.4,-1.4266666666666667,0.6666666666666666
213.45,-1.4444444444444444,0.6666666666666666
213.5,-1.4355555555555555,0.6644444444444444
213.55,-1.4355555555555555,0.6688888888888889
213.6,-1.431111111111111,0.6711111111111111
213.65,-1.4577777777777778,0.6688888888888889
213.7,-1.4533333333333334,0.6711111111111111
213.75,-1.448888888888889,0.6622222222222223
213.8,-1.4666666666666666,0.6711111111111111
213.85,-1.4577777777777778,0.6622222222222223
213.9,-1.4666666666666666,0.6711111111111111
213.95,-1.4577777777777778,0.6711111111111111
214.0,-1.4444444444444444,0.6711111111111111
214.05,-1.44,0.6644444444444444
214.1,-1.4355555555555555,0.66
214.15,-1.4444444444444444,0.66
214.2,-1.448888888888889,0.66
214.25,-1.431111111111111,0.6555555555555556
214.3,-1.4355555555555555,0.6555555555555556
214.35,-1.4355555555555555,0.6577777777777778
214.4,-1.4622222222222223,0.6666666666666666
214.45,-1.44,0.66
214.5,-1.448888888888889,0.6555555555555556
214.55,-1.44,0.6533333333333333
214.6,-1.4355555555555555,0.6555555555555556
214.65,-1.44,0.6622222222222223
214.7,-1.4533333333333334,0.6622222222222223
214.75,-1.4533333333333334,0.6644444444444444
214.8,-1.4666666666666666,0.6622222222222223
214.85,-1.4977777777777779,0.6733333333333333
214.9,-1.4622222222222223,0.66
214.95,-1.4577777777777778,0.6533333333333333
215.0,-1.4666666666666666,0.6444444444444445
215.05,-1.471111111111111,0.6444444444444445
215.1,-1.4755555555555555,0.6533333333333333
215.15,-1.4666666666666666,0.6555555555555556
215.2,-1.471111111111111,0.6577777777777778
215.25,-1.488888888888889,0.6666666666666666
215.3,-1.488888888888889,0.6644444444444444
215.35,-1.488888888888889,0.66
215.4,-1.4844444444444445,0.6666666666666666
215.45,-1.48,0.6666666666666666
215.5,-1.488888888888889,0.6533333333333333
215.55,-1.48,0.6511111111111111
215.6,-1.471111111111111,0.6488888888888888
215.65,-1.4577777777777778,0.6533333333333333
215.7,-1.4666666666666666,0.6644444444444444
215.75,-1.4666666666666666,0.6644444444444444
215.8,-1.4533333333333334,0.6622222222222223
215.85,-1.4666666666666666,0.6688888888888889
215.9,-1.471111111111111,0.6755555555555556
215.95,-1.448888888888889,0.6777777777777778
216.0,-1.4088888888888889,0.6666666666666666
216.05,-1.4133333333333333,0.6666666666666666
216.1,-1.4177777777777778,0.6711111111111111
216.15,-1.4044444444444444,0.6711111111111111
216.2,-1.4044444444444444,0.6733333333333333
216.25,-1.4,0.6622222222222223
216.3,-1.3822222222222222,0.66
216.35,-1.3777777777777778,0.6555555555555556
216.4,-1.3733333333333333,0.66
216.45,-1.3822222222222222,0.6577777777777778
216.5,-1.3866666666666667,0.6511111111111111
216.55,-1.3955555555555557,0.6466666666666666
216.6,-1.3777777777777778,0.6377777777777778
216.65,-1.3955555555555557,0.6488888888888888
216.7,-1.3955555555555557,0.6466666666666666
216.75,-1.3955555555555557,0.64
216.8,-1.3866666666666667,0.64
216.85,-1.3733333333333333,0.6511111111111111
216.9,-1.3422222222222222,0.6533333333333333
216.95,-1.3511111111111112,0.6644444444444444
217.0,-1.3288888888888888,0.6622222222222223
217.05,-1.3244444444444445,0.6622222222222223
217.1,-1.32,0.6688888888888889
217.15,-1.3244444444444445,0.6644444444444444
217.2,-1.3422222222222222,0.6733333333333333
217.25,-1.3333333333333333,0.66
217.3,-1.3333333333333333,0.6488888888888888
217.35,-1.3333333333333333,0.6422222222222222
217.4,-1.3377777777777777,0.6511111111111111
217.45,-1.3377777777777777,0.6511111111111111
217.5,-1.3555555555555556,0.6577777777777778
217.55,-1.3733333333333333,0.6644444444444444
217.6,-1.3822222222222222,0.66
217.65,-1.3777777777777778,0.6577777777777778
