x,precision,method,value
0.711249999999999999999999999999999946,quad,direct,4.02921023988856526206062175333500675e-06
0.711249999999999999999999999999999946,quad,expanded,4.02921023988856526206062174713047059e-06
0.711249999999999999999999999999999946,quad,horner,4.02921023988856526206062175878234676e-06
0.711499989,float,direct,3.99446208e-06
0.711499989,float,expanded,3.25590372e-06
0.711499989,float,horner,2.74181366e-06
0.71149999999999991,double,direct,3.9944609047595125e-06
0.71149999999999991,double,expanded,3.9944609081243865e-06
0.71149999999999991,double,horner,3.9944609027120492e-06
0.711499999999999999999999999999999941,quad,direct,3.99446090475950053696741762597657058e-06
0.711499999999999999999999999999999941,quad,expanded,3.994460904759500536967417624229545e-06
0.711499999999999999999999999999999941,quad,horner,3.99446090475950053696741762663695743e-06
0.711749971,float,direct,3.95998586e-06
0.711749971,float,expanded,3.60608101e-06
0.711749971,float,horner,1.01327896e-06
0.71174999999999999,double,direct,3.9599815241411679e-06
0.71174999999999999,double,expanded,3.9599815307989061e-06
0.71174999999999999,double,horner,3.9599815229163227e-06
0.711749999999999999999999999999999937,quad,direct,3.95998152414116678092330496411229107e-06
0.711749999999999999999999999999999937,quad,expanded,3.95998152414116678092330496676579912e-06
0.711749999999999999999999999999999937,quad,horner,3.95998152414116678092330496034402646e-06
0.712000012,float,direct,3.92576885e-06
0.712000012,float,expanded,7.77840614e-06
0.712000012,float,horner,3.4570694e-06
0.71199999999999997,double,direct,3.9257702322662193e-06
0.71199999999999997,double,expanded,3.9257702356479407e-06
0.71199999999999997,double,horner,3.925770233337289e-06
0.711999999999999999999999999999999932,quad,direct,3.92577023226621452510822400000000915e-06
0.711999999999999999999999999999999932,quad,expanded,3.92577023226621452510822400361873178e-06
0.711999999999999999999999999999999932,quad,horner,3.92577023226621452510822399725714443e-06
0.712249994,float,direct,3.89182605e-06
0.712249994,float,expanded,5.50597906e-06
0.712249994,float,horner,4.23192978e-06
0.71224999999999994,double,direct,3.8918251746602704e-06
0.71224999999999994,double,expanded,3.8918251807143478e-06
0.71224999999999994,double,horner,3.891825179458408e-06
0.712249999999999999999999999999999928,quad,direct,3.89182517466026237423789694213963489e-06
